Image_File,Modality,Bits_Stored,Shape,Original_Size_Bytes,Metadata_Size_Bytes,Parameter_Beta,Parameter_Codec,Stego_Capacity_Bits,Stego_Image_PSNR_dB,Stego_Image_SSIM,Final_Bin_Size_Bytes,CR,Bpp,Encoding_Time_s,Decoding_Time_s,Reversibility_Check
333.dcm,dx_16b,12,3056x2544,15551820,3012,0.8,jls,4343360,71.90351754688425,0.999982534092239,6230908,2.495915523066622,6.411665678817215,0.9729387760162354,1.6735892295837402,True
333.dcm,dx_16b,12,3056x2544,15551820,3012,0.8,png,4343360,71.90351754688425,0.999982534092239,9297576,1.6726746842402793,9.567297243900029,1.6703624725341797,1.4110233783721924,True
444.dcm,dx_16b,12,3056x2544,15551806,3013,0.4,jxl,3774352,92.95535641454278,0.9999995737324727,4438147,3.504121427253311,4.566896959070104,3.259502410888672,2.255915641784668,True
444.dcm,dx_16b,12,3056x2544,15551806,3013,0.4,j2k,3774352,92.95535641454278,0.9999995737324727,5336437,2.9142677033383886,5.491246213243769,2.355668783187866,1.8413190841674805,True
444.dcm,dx_16b,12,3056x2544,15551806,3013,0.4,jls,3774352,92.95535641454278,0.9999995737324727,5269707,2.951170909502179,5.422580386249136,2.060145139694214,1.5005056858062744,True
444.dcm,dx_16b,12,3056x2544,15551806,3013,0.4,png,3774352,92.95535641454278,0.9999995737324727,7270793,2.138942203415776,7.481717582073825,1.6661195755004883,0.9912121295928955,True
444.dcm,dx_16b,12,3056x2544,15551806,3013,0.8,jxl,3774352,76.66597155303504,0.9999912427479422,4439432,3.5031071542485615,4.5682192367216565,3.2857370376586914,2.515946388244629,True
444.dcm,dx_16b,12,3056x2544,15551806,3013,0.8,j2k,3774352,76.66597155303504,0.9999912427479422,5338467,2.9131595268829047,5.493335103230268,2.4826443195343018,1.3242647647857666,True
444.dcm,dx_16b,12,3056x2544,15551806,3013,0.8,jls,3774352,76.66597155303504,0.9999912427479422,5271195,2.950337826621857,5.424111552899338,1.5903956890106201,2.0621979236602783,True
444.dcm,dx_16b,12,3056x2544,15551806,3013,0.8,png,3774352,76.66597155303504,0.9999912427479422,7270723,2.1389627964096554,7.481645551384636,1.6707308292388916,1.1413369178771973,True
555.dcm,dx_16b,12,3056x2544,15551804,3013,0.4,jxl,4551456,89.23489989445403,0.9999992875355355,6051936,2.569723804085172,6.227501728736541,4.697057008743286,2.4740054607391357,True
555.dcm,dx_16b,12,3056x2544,15551804,3013,0.4,j2k,4551456,89.23489989445403,0.9999992875355355,7095361,2.1918270261372186,7.301196326846456,2.822765827178955,1.7333993911743164,True
555.dcm,dx_16b,12,3056x2544,15551804,3013,0.4,jls,4551456,89.23489989445403,0.9999992875355355,6942953,2.2399408436151016,7.144366994303401,0.9734964370727539,1.4562242031097412,True
555.dcm,dx_16b,12,3056x2544,15551804,3013,0.4,png,4551456,89.23489989445403,0.9999992875355355,10079301,1.542944694279891,10.37169996542527,1.90450119972229,1.649390697479248,True
555.dcm,dx_16b,12,3056x2544,15551804,3013,0.8,jxl,4551456,71.86152105454917,0.999978129783631,6054402,2.5686771377255755,6.230039267015707,4.567784309387207,2.321979522705078,True
555.dcm,dx_16b,12,3056x2544,15551804,3013,0.8,j2k,4551456,71.86152105454917,0.999978129783631,7097123,2.191282862083692,7.303009442194343,2.8582329750061035,1.4937138557434082,True
555.dcm,dx_16b,12,3056x2544,15551804,3013,0.8,jls,4551456,71.86152105454917,0.999978129783631,6943939,2.239622784704762,7.14538159801113,0.9451329708099365,1.8398492336273193,True
555.dcm,dx_16b,12,3056x2544,15551804,3013,0.8,png,4551456,71.86152105454917,0.999978129783631,10079341,1.5429385710831691,10.371741125819092,2.358909845352173,1.4279541969299316,True
666.dcm,dx_16b,12,2544x3056,15551730,3012,0.4,jxl,4461792,88.77525913764963,0.9999994402780653,5273189,2.949207775408771,5.426163398531397,3.6519582271575928,2.5875134468078613,True
666.dcm,dx_16b,12,2544x3056,15551730,3012,0.4,j2k,4461792,88.77525913764963,0.9999994402780653,6614177,2.3512721235007774,6.806053253317527,2.777592420578003,1.468189001083374,True
666.dcm,dx_16b,12,2544x3056,15551730,3012,0.4,jls,4461792,88.77525913764963,0.9999994402780653,6490403,2.3961116127919944,6.678688588692417,1.6389133930206299,1.6306400299072266,True
666.dcm,dx_16b,12,2544x3056,15551730,3012,0.4,png,4461792,88.77525913764963,0.9999994402780653,9576373,1.6239686987965067,9.85418210181435,1.6081829071044922,1.107572078704834,True
666.dcm,dx_16b,12,2544x3056,15551730,3012,0.8,jxl,4461792,70.6417166139304,0.9999781828034113,5274762,2.9483282847643175,5.427782031018473,3.6023142337799072,2.584167242050171,True
666.dcm,dx_16b,12,2544x3056,15551730,3012,0.8,j2k,4461792,70.6417166139304,0.9999781828034113,6616212,2.3505489243694124,6.808147288353255,2.791633367538452,1.8220043182373047,True
666.dcm,dx_16b,12,2544x3056,15551730,3012,0.8,jls,4461792,70.6417166139304,0.9999781828034113,6491338,2.395766481424939,6.679650712898021,1.6403486728668213,1.5470433235168457,True
666.dcm,dx_16b,12,2544x3056,15551730,3012,0.8,png,4461792,70.6417166139304,0.9999781828034113,9576318,1.6239780257923766,9.854125506272844,1.5703644752502441,1.079214334487915,True
777.dcm,dx_16b,12,3056x2544,15551820,3012,0.4,jxl,3981712,89.22191125136587,0.9999993515746668,5141921,3.024515545843664,5.291087334123613,4.212701320648193,2.3252689838409424,True
777.dcm,dx_16b,12,3056x2544,15551820,3012,0.4,j2k,3981712,89.22191125136587,0.9999993515746668,6235484,2.4940838594085077,6.416374427870526,2.6495907306671143,1.653587818145752,True
777.dcm,dx_16b,12,3056x2544,15551820,3012,0.4,jls,3981712,89.22191125136587,0.9999993515746668,6104204,2.5477228480568472,6.281286015344595,0.9683096408843994,1.439100742340088,True
777.dcm,dx_16b,12,3056x2544,15551820,3012,0.4,png,3981712,89.22191125136587,0.9999993515746668,9050184,1.718398211572273,9.312728440185715,1.5514757633209229,1.6703071594238281,True
777.dcm,dx_16b,12,3056x2544,15551820,3012,0.8,jxl,3981712,71.84318173686555,0.9999854560629149,5145121,3.022634453106156,5.294380165629425,4.630493402481079,2.3135900497436523,True
777.dcm,dx_16b,12,3056x2544,15551820,3012,0.8,j2k,3981712,71.84318173686555,0.9999854560629149,6236917,2.4935108163215896,6.417848998979222,2.527921676635742,1.6409435272216797,True
777.dcm,dx_16b,12,3056x2544,15551820,3012,0.8,jls,3981712,71.84318173686555,0.9999854560629149,6104969,2.5474035986095918,6.282073207876453,0.9541327953338623,1.495588779449463,True
777.dcm,dx_16b,12,3056x2544,15551820,3012,0.8,png,3981712,71.84318173686555,0.9999854560629149,9050121,1.7184101737424284,9.312663612565444,1.5142712593078613,2.133847951889038,True
888.dcm,dx_16b,12,3056x2544,15551732,3009,0.4,jxl,5335552,89.34395066814088,0.9999993651573609,5850939,2.6579890851707733,6.020673836807271,3.923229694366455,2.3633973598480225,True
