Image_File,Modality,Bits_Stored,Original_Size_Bytes,Metadata_Size_Bytes,Message_Size_Bits,Beta,Codec,Percentile,PSNR_dB,SSIM,MSE,Restored_MSE,Final_Bin_Size_Bytes,Bpp,CR,Encoding_Speed_ms_MB,Decoding_Speed_ms_MB,Total_Encoding_Time_s,Decoding_Time_s,Reversibility_Check,Reversibility_Message
005.dcm,DX,15,13266116,9705,77640,0.2,JPEG XL,90,72.35035644688712,0.9999592881141037,5.8205544365123146e-08,0.0,7990182,9.63952961614675,1.660302105759293,64.59575281868483,12.891753697917311,0.8172366619110107,0.1631007194519043,True,True
005.dcm,DX,15,13266116,9705,77640,0.2,JPEG 2000,90,72.35035644688712,0.9999592881141037,5.8205544365123146e-08,0.0,8239173,9.939917782355478,1.6101271329052078,72.19138216490795,22.878267459744812,0.9133331775665283,0.2894456386566162,True,True
005.dcm,DX,15,13266116,9705,77640,0.2,JPEG-LS,90,72.35035644688712,0.9999592881141037,5.8205544365123146e-08,0.0,8045813,9.706644066365262,1.6488223129222614,68.68860486369937,21.391603993210975,0.8690176010131836,0.27063703536987305,True,True
005.dcm,DX,15,13266116,9705,77640,0.8,JPEG XL,90,29.400506648082448,0.9958971295752641,0.0011480196856710552,0.0,8012333,9.666253065065343,1.6557120129680083,80.58074420576452,13.217734565263864,1.0194716453552246,0.16722488403320312,True,True
005.dcm,DX,15,13266116,9705,77640,0.8,JPEG 2000,90,29.400506648082448,0.9958971295752641,0.0011480196856710552,0.0,8255279,9.95934841159492,1.6069857844901425,80.4764182674115,24.696979884692702,1.0181517601013184,0.3124551773071289,True,True
005.dcm,DX,15,13266116,9705,77640,0.8,JPEG-LS,90,29.400506648082448,0.9958971295752641,0.0011480196856710552,0.0,8063036,9.727422268736484,1.6453003558461106,76.26358008628901,21.46736090653813,0.9648528099060059,0.27159547805786133,True,True
001.dcm,DX,15,13266148,9737,77896,0.2,JPEG XL,90,72.74021856826971,0.9999582384264499,5.3208148041975826e-08,0.0,8355315,10.080034021094285,1.5877495941206285,64.087989218875,13.069750917900206,0.810814619064331,0.16535305976867676,True,True
001.dcm,DX,15,13266148,9737,77896,0.2,JPEG 2000,90,72.74021856826971,0.9999582384264499,5.3208148041975826e-08,0.0,8566118,10.334351352248015,1.5486767751740054,74.6417498131334,23.763491859128965,0.9443364143371582,0.3006458282470703,True,True
001.dcm,DX,15,13266148,9737,77896,0.2,JPEG-LS,90,72.74021856826971,0.9999582384264499,5.3208148041975826e-08,0.0,8379180,10.1088252769492,1.5832274757195812,66.33084072332075,21.656229826472615,0.8391902446746826,0.2739856243133545,True,True
001.dcm,DX,15,13266148,9737,77896,0.8,JPEG XL,90,50.801301090345035,0.996936496386906,8.315146227098998e-06,0.0,8366793,10.0938813303213,1.585571436989059,78.99657458970005,13.517507116609886,0.999431848526001,0.17101788520812988,True,True
